year,region_id,region_name,total
2019,1,Andalucía,8414240
2019,2,Aragón,1319291
2019,3,"Asturias, Principado de",1022800
2019,4,"Balears, Illes",1149460
2019,5,Canarias,2153389
2019,6,Cantabria,581078
2019,7,Castilla y León,2399548
2019,8,Castilla - La Mancha,2032863
2019,9,Cataluña,7675217
2019,10,Comunitat Valenciana,5003769
2019,11,Extremadura,1067710
2019,12,Galicia,2699499
2019,13,"Madrid, Comunidad de",6663394
2019,14,"Murcia, Región de",1493898
2019,15,"Navarra, Comunidad Foral de",654214
2019,16,País Vasco,2207776
2019,17,"Rioja, La",316798
2019,18,Ceuta,84777
2019,19,Melilla,86487
2018,1,Andalucía,8384408
2018,2,Aragón,1308728
2018,3,"Asturias, Principado de",1028244
2018,4,"Balears, Illes",1128908
2018,5,Canarias,2127685
2018,6,Cantabria,580229
2018,7,Castilla y León,2409164
2018,8,Castilla - La Mancha,2026807
2018,9,Cataluña,7600065
2018,10,Comunitat Valenciana,4963703
2018,11,Extremadura,1072863
2018,12,Galicia,2701743
2018,13,"Madrid, Comunidad de",6578079
2018,14,"Murcia, Región de",1478509
2018,15,"Navarra, Comunidad Foral de",647554
2018,16,País Vasco,2199088
2018,17,"Rioja, La",315675
2018,18,Ceuta,85144
2018,19,Melilla,86384
2017,1,Andalucía,8379820
2017,2,Aragón,1308750
2017,3,"Asturias, Principado de",1034960
2017,4,"Balears, Illes",1115999
2017,5,Canarias,2108121
2017,6,Cantabria,580295
2017,7,Castilla y León,2425801
2017,8,Castilla - La Mancha,2031479
2017,9,Cataluña,7555830
2017,10,Comunitat Valenciana,4941509
2017,11,Extremadura,1079920
2017,12,Galicia,2708339
2017,13,"Madrid, Comunidad de",6507184
2017,14,"Murcia, Región de",1470273
2017,15,"Navarra, Comunidad Foral de",643234
2017,16,País Vasco,2194158
2017,17,"Rioja, La",315381
2017,18,Ceuta,84959
2017,19,Melilla,86120
2016,1,Andalucía,8388107
2016,2,Aragón,1308563
2016,3,"Asturias, Principado de",1042608
2016,4,"Balears, Illes",1107220
2016,5,Canarias,2101924
2016,6,Cantabria,582206
2016,7,Castilla y León,2447519
2016,8,Castilla - La Mancha,2041631
2016,9,Cataluña,7522596
2016,10,Comunitat Valenciana,4959968
2016,11,Extremadura,1087778
2016,12,Galicia,2718525
2016,13,"Madrid, Comunidad de",6466996
2016,14,"Murcia, Región de",1464847
2016,15,"Navarra, Comunidad Foral de",640647
2016,16,País Vasco,2189534
2016,17,"Rioja, La",315794
2016,18,Ceuta,84519
2016,19,Melilla,86026
2015,1,Andalucía,8399043
2015,2,Aragón,1317847
2015,3,"Asturias, Principado de",1051229
2015,4,"Balears, Illes",1104479
2015,5,Canarias,2100306
2015,6,Cantabria,585179
2015,7,Castilla y León,2472052
2015,8,Castilla - La Mancha,2059191
2015,9,Cataluña,7508106
2015,10,Comunitat Valenciana,4980689
2015,11,Extremadura,1092997
2015,12,Galicia,2732347
2015,13,"Madrid, Comunidad de",6436996
2015,14,"Murcia, Región de",1467288
2015,15,"Navarra, Comunidad Foral de",640476
2015,16,País Vasco,2189257
2015,17,"Rioja, La",317053
2015,18,Ceuta,84263
2015,19,Melilla,85584
2014,1,Andalucía,8402305
2014,2,Aragón,1325385
2014,3,"Asturias, Principado de",1061756
2014,4,"Balears, Illes",1103442
2014,5,Canarias,2104815
2014,6,Cantabria,588656
2014,7,Castilla y León,2494790
2014,8,Castilla - La Mancha,2078611
2014,9,Cataluña,7518903
2014,10,Comunitat Valenciana,5004844
2014,11,Extremadura,1099632
2014,12,Galicia,2748695
2014,13,"Madrid, Comunidad de",6454440
2014,14,"Murcia, Región de",1466818
2014,15,"Navarra, Comunidad Foral de",640790
2014,16,País Vasco,2188985
2014,17,"Rioja, La",319002
2014,18,Ceuta,84963
2014,19,Melilla,84509
2013,1,Andalucía,8440300
2013,2,Aragón,1347150
2013,3,"Asturias, Principado de",1068165
2013,4,"Balears, Illes",1111674
2013,5,Canarias,2118679
2013,6,Cantabria,591888
2013,7,Castilla y León,2519875
2013,8,Castilla - La Mancha,2100998
2013,9,Cataluña,7553650
2013,10,Comunitat Valenciana,5113815
2013,11,Extremadura,1104004
2013,12,Galicia,2765940
2013,13,"Madrid, Comunidad de",6495551
2013,14,"Murcia, Región de",1472049
2013,15,"Navarra, Comunidad Foral de",644477
2013,16,País Vasco,2191682
2013,17,"Rioja, La",322027
2013,18,Ceuta,84180
2013,19,Melilla,83679
2012,1,Andalucía,8449985
2012,2,Aragón,1349467
2012,3,"Asturias, Principado de",1077360
2012,4,"Balears, Illes",1119439
2012,5,Canarias,2118344
2012,6,Cantabria,593861
2012,7,Castilla y León,2546078
2012,8,Castilla - La Mancha,2121888
2012,9,Cataluña,7570908
2012,10,Comunitat Valenciana,5129266
2012,11,Extremadura,1108130
2012,12,Galicia,2781498
2012,13,"Madrid, Comunidad de",6498560
2012,14,"Murcia, Región de",1474449
2012,15,"Navarra, Comunidad Foral de",644566
2012,16,País Vasco,2193093
2012,17,"Rioja, La",323609
2012,18,Ceuta,84018
2012,19,Melilla,80802
2011,1,Andalucía,8424102
2011,2,Aragón,1346293
2011,3,"Asturias, Principado de",1081487
2011,4,"Balears, Illes",1113114
2011,5,Canarias,2126769
2011,6,Cantabria,593121
2011,7,Castilla y León,2558463
2011,8,Castilla - La Mancha,2115334
2011,9,Cataluña,7539618
2011,10,Comunitat Valenciana,5117190
2011,11,Extremadura,1109367
2011,12,Galicia,2795422
2011,13,"Madrid, Comunidad de",6489680
2011,14,"Murcia, Región de",1470069
2011,15,"Navarra, Comunidad Foral de",642051
2011,16,País Vasco,2184606
2011,17,"Rioja, La",322955
2011,18,Ceuta,82376
2011,19,Melilla,78476
2010,1,Andalucía,8370975
2010,2,Aragón,1347095
2010,3,"Asturias, Principado de",1084341
2010,4,"Balears, Illes",1106049
2010,5,Canarias,2118519
2010,6,Cantabria,592250
2010,7,Castilla y León,2559515
2010,8,Castilla - La Mancha,2098373
2010,9,Cataluña,7512381
2010,10,Comunitat Valenciana,5111706
2010,11,Extremadura,1107220
2010,12,Galicia,2797653
2010,13,"Madrid, Comunidad de",6458684
2010,14,"Murcia, Región de",1461979
2010,15,"Navarra, Comunidad Foral de",636924
2010,16,País Vasco,2178339
2010,17,"Rioja, La",322415
2010,18,Ceuta,80579
2010,19,Melilla,76034
2009,1,Andalucía,8302923
2009,2,Aragón,1345473
2009,3,"Asturias, Principado de",1085289
2009,4,"Balears, Illes",1095426
2009,5,Canarias,2103992
2009,6,Cantabria,589235
2009,7,Castilla y León,2563521
2009,8,Castilla - La Mancha,2081313
2009,9,Cataluña,7475420
2009,10,Comunitat Valenciana,5094675
2009,11,Extremadura,1102410
2009,12,Galicia,2796089
2009,13,"Madrid, Comunidad de",6386932
2009,14,"Murcia, Región de",1446520
2009,15,"Navarra, Comunidad Foral de",630578
2009,16,País Vasco,2172175
2009,17,"Rioja, La",321702
2009,18,Ceuta,78674
2009,19,Melilla,73460
2008,1,Andalucía,8202220
2008,2,Aragón,1326918
2008,3,"Asturias, Principado de",1080138
2008,4,"Balears, Illes",1072844
2008,5,Canarias,2075968
2008,6,Cantabria,582138
2008,7,Castilla y León,2557330
2008,8,Castilla - La Mancha,2043100
2008,9,Cataluña,7364078
2008,10,Comunitat Valenciana,5029601
2008,11,Extremadura,1097744
2008,12,Galicia,2784169
2008,13,"Madrid, Comunidad de",6271638
2008,14,"Murcia, Región de",1426109
2008,15,"Navarra, Comunidad Foral de",620377
2008,16,País Vasco,2157112
2008,17,"Rioja, La",317501
2008,18,Ceuta,77389
2008,19,Melilla,71448
2007,1,Andalucía,8059461
2007,2,Aragón,1296655
2007,3,"Asturias, Principado de",1074862
2007,4,"Balears, Illes",1030650
2007,5,Canarias,2025951
2007,6,Cantabria,572824
2007,7,Castilla y León,2528417
2007,8,Castilla - La Mancha,1977304
2007,9,Cataluña,7210508
2007,10,Comunitat Valenciana,4885029
2007,11,Extremadura,1089990
2007,12,Galicia,2772533
2007,13,"Madrid, Comunidad de",6081689
2007,14,"Murcia, Región de",1392117
2007,15,"Navarra, Comunidad Foral de",605876
2007,16,País Vasco,2141860
2007,17,"Rioja, La",308968
2007,18,Ceuta,76603
2007,19,Melilla,69440
2006,1,Andalucía,7975672
2006,2,Aragón,1277471
2006,3,"Asturias, Principado de",1076896
2006,4,"Balears, Illes",1001062
2006,5,Canarias,1995833
2006,6,Cantabria,568091
2006,7,Castilla y León,2523020
2006,8,Castilla - La Mancha,1932261
2006,9,Cataluña,7134697
2006,10,Comunitat Valenciana,4806908
2006,11,Extremadura,1086373
2006,12,Galicia,2767524
2006,13,"Madrid, Comunidad de",6008183
2006,14,"Murcia, Región de",1370306
2006,15,"Navarra, Comunidad Foral de",601874
2006,16,País Vasco,2133684
2006,17,"Rioja, La",306377
2006,18,Ceuta,75861
2006,19,Melilla,66871
